Time S;Temperature
0;5.292162628
0.00002;5.292209976
0.00004;5.292256919
0.00006;5.292303432
0.00008;5.292338937
0.0001;5.292373444
0.00012;5.292406922
0.00014;5.29244989
0.00016;5.292492285
0.00018;5.292544121
0.0002;5.292584274
0.00022;5.292633309
0.00024;5.292671129
0.00026;5.292707745
0.00028;5.292732583
0.0003;5.292766714
0.00032;5.292800072
0.00034;5.292842671
0.00036;5.292883941
0.00038;5.292913822
0.0004;5.292942838
0.00042;5.292960927
0.00044;5.292978608
0.00046;5.292995851
0.00048;5.293022664
0.0005;5.293048471
0.00052;5.293063207
0.00054;5.293077392
0.00056;5.293101036
0.00058;5.293123561
0.0006;5.293134903
0.00062;5.293177236
0.00064;5.293219915
0.00066;5.29325135
0.00068;5.293281047
0.0007;5.293308987
0.00072;5.29335625
0.00074;5.293412788
0.00076;5.293478082
0.00078;5.293541584
0.0008;5.293613842
0.00082;5.293684824
0.00084;5.293754535
0.00086;5.293833018
0.00088;5.293899182
0.0009;5.293953032
0.00092;5.294005119
0.00094;5.294055443
0.00096;5.294104004
0.00098;5.294150802
0.001;5.294195837
0.00102;5.294228557
0.00104;5.294258998
0.00106;5.294287153
0.00108;5.294313018
0.0011;5.294336587
0.00112;5.294368406
0.00114;5.294388398
0.00116;5.294407109
0.00118;5.294404455
0.0012;5.294401523
0.00122;5.294366646
0.00124;5.294361562
0.00126;5.294366177
0.00128;5.294359893
0.0013;5.294353244
0.00132;5.294346216
0.00134;5.294369933
0.00136;5.294393768
0.00138;5.29441772
0.0014;5.294420687
0.00142;5.2944338
0.00144;5.294458078
0.00146;5.294493521
0.00148;5.294519032
0.0015;5.29454465
0.00152;5.294580926
0.00154;5.294617826
0.00156;5.294665394
0.00158;5.294681437
0.0016;5.294696066
0.00162;5.294709276
0.00164;5.294752714
0.00166;5.294775173
0.00168;5.294786179
0.0017;5.294795766
0.00172;5.294803928
0.00174;5.294810661
0.00176;5.294795883
0.00178;5.294780679
0.0018;5.294765034
0.00182;5.294748933
0.00184;5.29473236
0.00186;5.294715301
0.00188;5.29469774
0.0019;5.294679662
0.00192;5.294661052
0.00194;5.294641893
0.00196;5.294611621
0.00198;5.294580253
0.002;5.29455832
0.00202;5.294535768
0.00204;5.294512582
0.00206;5.294498784
0.00208;5.294483303
0.0021;5.294455576
0.00212;5.29442614
0.00214;5.294426632
0.00216;5.294415872
0.00218;5.29440287
0.0022;5.29437707
0.00222;5.294359564
0.00224;5.294330268
0.00226;5.294309251
0.00228;5.294295995
0.0023;5.2942905
0.00232;5.294303322
0.00234;5.294314399
0.00236;5.294323745
0.00238;5.294331378
0.0024;5.29433731
0.00242;5.294331008
0.00244;5.29432252
0.00246;5.294342484
0.00248;5.294349236
0.0025;5.294363383
0.00252;5.294374915
0.00254;5.294383855
0.00256;5.29439023
0.00258;5.294394576
0.0026;5.294397432
0.00262;5.294398823
0.00264;5.294398775
0.00266;5.294417902
0.00268;5.294435651
0.0027;5.294431468
0.00272;5.294405377
0.00274;5.294367946
0.00276;5.294329735
0.00278;5.294290755
0.0028;5.294251016
0.00282;5.294210527
0.00284;5.2941693
0.00286;5.294127344
0.00288;5.294074631
0.0029;5.294021716
0.00292;5.293968605
0.00294;5.293905265
0.00296;5.293852284
0.00298;5.293799117
0.003;5.29373573
0.00302;5.293672675
0.00304;5.293609951
0.00306;5.293547558
0.00308;5.293485497
0.0031;5.293423766
0.00312;5.293362367
0.00314;5.293301299
0.00316;5.293240562
0.00318;5.293190195
0.0032;5.293139653
0.00322;5.293088939
0.00324;5.29303806
0.00326;5.29299706
0.00328;5.292955397
0.0033;5.292913082
0.00332;5.292870124
0.00334;5.292816496
0.00336;5.292783344
0.00338;5.29276013
0.0034;5.292725775
0.00342;5.292690331
0.00344;5.292664366
0.00346;5.292627822
0.00348;5.292591266
0.0035;5.292554711
0.00352;5.292518687
0.00354;5.292493247
0.00356;5.292477387
0.00358;5.292460582
0.0036;5.292432818
0.00362;5.292404667
0.00364;5.292376149
0.00366;5.292337758
0.00368;5.292300572
0.0037;5.292264606
0.00372;5.292229876
0.00374;5.292196397
0.00376;5.292184262
0.00378;5.292161843
0.0038;5.292139201
0.00382;5.292106827
0.00384;5.292075802
0.00386;5.292096334
0.00388;5.292105158
0.0039;5.292082744
0.00392;5.29205124
0.00394;5.292031249
0.00396;5.292012242
0.00398;5.291994239
0.004;5.291966709
0.00402;5.291949745
0.00404;5.291932817
0.00406;5.291915945
0.00408;5.29189915
0.0041;5.291882451
0.00412;5.29186587
0.00414;5.291869503
0.00416;5.291872281
0.00418;5.291874233
0.0042;5.291844762
0.00422;5.291815023
0.00424;5.291785032
0.00426;5.291775393
0.00428;5.291744954
0.0043;5.291734908
0.00432;5.291724691
0.00434;5.291714329
0.00436;5.291693297
0.00438;5.291661614
0.0044;5.291650437
0.00442;5.291639201
0.00444;5.291638483
0.00446;5.291638275
0.00448;5.291638607
0.0045;5.291628958
0.00452;5.291609355
0.00454;5.291600919
0.00456;5.291593637
0.00458;5.291576985
0.0046;5.29156102
0.00462;5.291556314
0.00464;5.291552854
0.00466;5.291530076
0.00468;5.291498033
0.0047;5.291466775
0.00472;5.291426274
0.00474;5.291387084
0.00476;5.291338661
0.00478;5.29129053
0.0048;5.291242181
0.00482;5.291183573
0.00484;5.291105176
0.00486;5.291048154
0.00488;5.290980848
0.0049;5.290913287
0.00492;5.290856012
0.00494;5.290778902
0.00496;5.29072312
0.00498;5.29066756
0.005;5.290592138
0.00502;5.290517943
0.00504;5.290444957
0.00506;5.290373166
0.00508;5.290292517
0.0051;5.290223577
0.00512;5.290155781
0.00514;5.290089114
0.00516;5.290034111
0.00518;5.289980724
0.0052;5.289950043
0.00522;5.289911953
0.00524;5.289887039
0.00526;5.289864748
0.00528;5.289834531
0.0053;5.289816971
0.00532;5.289802031
0.00534;5.28978971
0.00536;5.289769457
0.00538;5.289751306
0.0054;5.289725213
0.00542;5.289701719
0.00544;5.289671286
0.00546;5.289644964
0.00548;5.289612184
0.0055;5.289613083
0.00552;5.289585886
0.00554;5.289562225
0.00556;5.289552119
0.00558;5.289554528
0.0056;5.289538302
0.00562;5.289524521
0.00564;5.289533244
0.00566;5.289543358
0.00568;5.289554852
0.0057;5.289567718
0.00572;5.289581944
0.00574;5.289617597
0.00576;5.289653577
0.00578;5.289710985
0.0058;5.289769754
0.00582;5.289829893
0.00584;5.289891413
0.00586;5.289954324
0.00588;5.290018636
0.0059;5.29008436
0.00592;5.290151505
0.00594;5.290220083
0.00596;5.290290102
0.00598;5.290361574
0.006;5.290434508
0.00602;5.290508915
0.00604;5.290584804
0.00606;5.290662187
0.00608;5.290730522
0.0061;5.290789302
0.00612;5.290839039
0.00614;5.290860676
0.00616;5.290885843
0.00618;5.290903971
0.0062;5.290914521
0.00622;5.290938052
0.00624;5.290964501
0.00626;5.291004392
0.00628;5.291076759
0.0063;5.291098725
0.00632;5.291112465
0.00634;5.291117941
0.00636;5.291125664
0.00638;5.291135594
0.0064;5.291147689
0.00642;5.291171948
0.00644;5.291197785
0.00646;5.291255279
0.00648;5.291281617
0.0065;5.291307392
0.00652;5.291342607
0.00654;5.29137668
0.00656;5.291409582
0.00658;5.291441281
0.0066;5.291482298
0.00662;5.291522568
0.00664;5.291562067
0.00666;5.291600768
0.00668;5.291628095
0.0067;5.291644018
0.00672;5.291669602
0.00674;5.29170533
0.00676;5.291751687
0.00678;5.291798615
0.0068;5.291846094
0.00682;5.291894103
0.00684;5.291942621
0.00686;5.291991628
0.00688;5.292041104
0.0069;5.292091541
0.00692;5.292143429
0.00694;5.29219675
0.00696;5.292262033
0.00698;5.292318674
0.007;5.29237669
0.00702;5.292446613
0.00704;5.292518387
0.00706;5.292591999
0.00708;5.292667433
0.0071;5.292744673
0.00712;5.292823704
0.00714;5.29290451
0.00716;5.292987078
0.00718;5.29307139
0.0072;5.293146882
0.00722;5.293223571
0.00724;5.293301437
0.00726;5.29338046
0.00728;5.293450068
0.0073;5.293520275
0.00732;5.293581016
0.00734;5.293652851
0.00736;5.293725716
0.00738;5.293789545
0.0074;5.293843797
0.00742;5.293908512
0.00744;5.293973111
0.00746;5.294037562
0.00748;5.294112386
0.0075;5.294187518
0.00752;5.294252893
0.00754;5.294339623
0.00756;5.294405995
0.00758;5.294471544
0.0076;5.294525689
0.00762;5.294599534
0.00764;5.294672465
0.00766;5.294744455
0.00768;5.294846621
0.0077;5.294948322
0.00772;5.295059589
0.00774;5.295169864
0.00776;5.295279144
0.00778;5.29536632
0.0078;5.295451456
0.00782;5.295534535
0.00784;5.295636645
0.00786;5.295737702
0.00788;5.295805026
0.0079;5.295847609
0.00792;5.295928727
0.00794;5.296018766
0.00796;5.29609713
0.00798;5.296173848
0.008;5.29624891
0.00802;5.296322305
0.00804;5.296383474
0.00806;5.296442438
0.00808;5.296499184
0.0081;5.296553695
0.00812;5.296605956
0.00814;5.296655952
0.00816;5.296682567
0.00818;5.296695812
0.0082;5.296706209
0.00822;5.296734829
0.00824;5.296761574
0.00826;5.296776384
0.00828;5.296769196
0.0083;5.296771114
0.00832;5.296751479
0.00834;5.29673084
0.00836;5.296709157
0.00838;5.296686388
0.0084;5.296693122
0.00842;5.296667564
0.00844;5.296630774
0.00846;5.296593258
0.00848;5.296554971
0.0085;5.296515865
